"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","22,604.85","22,455.00","22,783.35","21,777.65","6,277.66B","1.24%"
"03/01/2024","22,326.90","22,048.30","22,526.60","21,710.20","6,735.78B","1.57%"
"02/01/2024","21,982.80","21,780.65","22,297.50","21,530.20","6,728.16B","1.18%"
"01/01/2024","21,725.70","21,727.75","22,124.15","21,137.20","6,824.38B","-0.03%"
"12/01/2023","21,731.40","20,194.10","21,801.45","20,183.70","6,121.37B","7.94%"
"11/01/2023","20,133.15","19,064.05","20,158.70","18,973.70","4,423.32B","5.52%"
"10/01/2023","19,079.60","19,622.40","19,849.75","18,837.85","4,248.51B","-2.84%"
"09/01/2023","19,638.30","19,258.15","20,222.45","19,255.70","5,666.41B","2.00%"
"08/01/2023","19,253.80","19,784.00","19,795.60","19,223.65","6,253.99B","-2.53%"
"07/01/2023","19,753.80","19,246.50","19,991.85","19,234.40","5,802.27B","2.94%"
"06/01/2023","19,189.05","18,579.40","19,201.70","18,464.55","5,144.19B","3.53%"
"05/01/2023","18,534.40","18,124.80","18,662.45","18,042.40","5,737.40B","2.60%"
"04/01/2023","18,065.00","17,427.95","18,089.15","17,312.75","4,459.76B","4.06%"
"03/01/2023","17,359.75","17,360.10","17,799.95","16,828.35","5,622.28B","0.32%"
"02/01/2023","17,303.95","17,811.60","18,134.75","17,255.20","5,685.63B","-2.03%"
"01/01/2023","17,662.15","18,131.70","18,251.95","17,405.55","5,632.81B","-2.45%"
"12/01/2022","18,105.30","18,871.95","18,887.60","17,774.25","4,741.44B","-3.48%"
"11/01/2022","18,758.35","18,130.70","18,816.05","17,959.20","5,257.00B","4.14%"
"10/01/2022","18,012.20","17,102.10","18,022.80","16,855.55","4,539.96B","5.37%"
"09/01/2022","17,094.35","17,485.70","18,096.15","16,747.70","6,896.51B","-3.74%"
"08/01/2022","17,759.30","17,243.20","17,992.20","17,154.80","5,589.51B","3.50%"
"07/01/2022","17,158.25","15,703.70","17,172.80","15,511.05","5,475.27B","8.73%"
"06/01/2022","15,780.25","16,594.40","16,793.85","15,183.40","5,514.20B","-4.85%"
"05/01/2022","16,584.55","16,924.45","17,132.85","15,735.75","6,343.31B","-3.03%"
"04/01/2022","17,102.55","17,436.90","18,114.65","16,824.70","5,658.25B","-2.07%"
"03/01/2022","17,464.75","16,593.10","17,559.80","15,671.45","7,959.71B","3.99%"
"02/01/2022","16,793.90","17,529.45","17,794.60","16,203.25","5,620.29B","-3.15%"
"01/01/2022","17,339.85","17,387.15","18,350.95","16,836.80","5,435.45B","-0.08%"
"12/01/2021","17,354.05","17,104.40","17,639.50","16,410.20","5,499.27B","2.18%"
"11/01/2021","16,983.20","17,783.15","18,210.15","16,782.40","5,853.40B","-3.90%"
"10/01/2021","17,671.65","17,531.90","18,604.45","17,452.90","7,651.08B","0.30%"
"09/01/2021","17,618.15","17,185.60","17,947.65","17,055.05","6,955.53B","2.84%"
"08/01/2021","17,132.20","15,874.90","17,153.50","15,834.65","6,349.87B","8.69%"
"07/01/2021","15,763.05","15,755.05","15,962.25","15,513.45","5,996.74B","0.26%"
"06/01/2021","15,721.50","15,629.65","15,915.65","15,450.90","8,079.09B","0.89%"
"05/01/2021","15,582.80","14,481.05","15,606.35","14,416.25","10,269.75B","6.50%"
"04/01/2021","14,631.10","14,798.40","15,044.35","14,151.40","9,640.13B","-0.41%"
"03/01/2021","14,690.70","14,702.50","15,336.30","14,264.40","11,356.83B","1.11%"
"02/01/2021","14,529.15","13,758.60","15,431.75","13,661.75","14,313.92B","6.56%"
"01/01/2021","13,634.60","13,996.10","14,753.55","13,596.75","13,019.73B","-2.48%"
"12/01/2020","13,981.75","13,062.20","14,024.85","12,962.80","12,077.48B","7.81%"
"11/01/2020","12,968.95","11,697.35","13,145.85","11,557.40","13,112.43B","11.39%"
"10/01/2020","11,642.40","11,364.45","12,025.45","11,347.05","11,602.47B","3.51%"
"09/01/2020","11,247.55","11,464.30","11,618.10","10,790.20","13,446.18B","-1.23%"
"08/01/2020","11,387.50","11,057.55","11,794.25","10,882.25","14,035.51B","2.84%"
"07/01/2020","11,073.45","10,323.80","11,341.40","10,299.60","14,640.02B","7.49%"
"06/01/2020","10,302.10","9,726.85","10,553.15","9,544.35","16,778.74B","7.53%"
"05/01/2020","9,580.30","9,533.50","9,598.85","8,806.75","13,675.69B","-2.84%"
"04/01/2020","9,859.90","8,584.10","9,889.05","8,055.80","12,736.48B","14.68%"
"03/01/2020","8,597.75","11,387.35","11,433.00","7,511.10","21,302.93B","-23.25%"
"02/01/2020","11,201.75","11,939.00","12,246.70","11,175.05","11,191.05B","-6.36%"
"01/01/2020","11,962.10","12,202.15","12,430.50","11,929.60","11,934.46B","-1.70%"
"12/01/2019","12,168.45","12,137.05","12,293.90","11,832.30","12,549.77B","0.93%"
"11/01/2019","12,056.05","11,886.60","12,158.80","11,802.65","13,177.76B","1.50%"
"10/01/2019","11,877.45","11,515.40","11,945.00","11,090.15","15,622.87B","3.51%"
"09/01/2019","11,474.45","10,960.95","11,694.85","10,670.25","12,210.01B","4.09%"
"08/01/2019","11,023.25","11,060.20","11,181.45","10,637.15","11,152.90B","-0.85%"
"07/01/2019","11,118.00","11,839.90","11,981.75","10,999.40","9,988.47B","-5.69%"
"06/01/2019","11,788.85","11,953.75","12,103.05","11,625.10","6,788.08B","-1.12%"
"05/01/2019","11,922.80","11,725.55","12,041.15","11,108.30","8,645.73B","1.49%"
"04/01/2019","11,748.15","11,665.20","11,856.15","11,549.10","6,516.82B","1.07%"
"03/01/2019","11,623.90","10,842.65","11,630.35","10,817.00","6,857.09B","7.70%"
"02/01/2019","10,792.50","10,851.35","11,118.10","10,585.65","7,461.36B","-0.36%"
"01/01/2019","10,830.95","10,881.70","10,987.45","10,583.65","7,433.20B","-0.29%"
"12/01/2018","10,862.55","10,930.70","10,985.15","10,333.85","6,735.43B","-0.13%"
"11/01/2018","10,876.75","10,441.70","10,922.45","10,341.90","6,785.03B","4.72%"
"10/01/2018","10,386.60","10,930.90","11,035.65","10,004.55","8,144.58B","-4.98%"
"09/01/2018","10,930.45","11,751.80","11,751.80","10,850.30","6,028.13B","-6.42%"
"08/01/2018","11,680.50","11,359.80","11,760.20","11,234.95","5,411.82B","2.85%"
"07/01/2018","11,356.50","10,732.35","11,366.00","10,604.65","5,290.68B","5.99%"
"06/01/2018","10,714.30","10,738.45","10,893.25","10,550.90","4,828.46B","-0.20%"
"05/01/2018","10,736.15","10,783.85","10,929.20","10,417.80","5,498.96B","-0.03%"
"04/01/2018","10,739.35","10,151.65","10,759.00","10,111.30","4,945.48B","6.19%"
"03/01/2018","10,113.70","10,479.95","10,525.50","9,951.90","4,524.60B","-3.61%"
"02/01/2018","10,492.85","11,044.55","11,117.35","10,276.30","4,525.45B","-4.85%"
"01/01/2018","11,027.70","10,531.70","11,171.55","10,404.65","4,835.88B","4.72%"
"12/01/2017","10,530.70","10,263.70","10,552.40","10,033.35","3,612.87B","2.97%"
"11/01/2017","10,226.55","10,390.35","10,490.45","10,094.00","4,794.41B","-1.05%"
"10/01/2017","10,335.30","9,893.30","10,384.50","9,831.05","4,639.71B","5.59%"
"09/01/2017","9,788.60","9,937.65","10,178.95","9,687.55","4,294.09B","-1.30%"
"08/01/2017","9,917.90","10,101.05","10,137.85","9,685.55","4,296.60B","-1.58%"
"07/01/2017","10,077.10","9,587.95","10,114.85","9,543.55","3,848.06B","5.84%"
"06/01/2017","9,520.90","9,603.55","9,709.30","9,448.75","3,667.94B","-1.04%"
"05/01/2017","9,621.25","9,339.85","9,649.60","9,269.90","4,682.36B","3.41%"
"04/01/2017","9,304.05","9,220.60","9,367.15","9,075.15","3,154.37B","1.42%"
"03/01/2017","9,173.75","8,904.40","9,218.40","8,860.10","4,984.93B","3.31%"
